"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Carlos","Vela","Carlos Vela","LAFC",2019,2032,"F",108,47,21.3425841672187,0.324074074074074,22,16.987,3.60216180050659,5.01301413205201,63,14.2707704376757,8,8.2858823984975,-0.285882398497495,25.2728682664455,9.74323413145053,9.87577946335809,0.157286906184704,0.131521942833294,0.0464167975190001,-0.00453781584916659,6300,"LAFC",2032,"F",5.10236220472441,2.22047244094488,1.03937007874016,0.802534765414865,0.170180872464878,0.236835313325292,2.97637795275591,0.377952755905512,0.391459010952638,-0.0135062550471257,1.1939937763675,0.460310273926797,0.466572258111406,6300,511,511,"Vela"
"Zlatan","Ibrahimovic","Zlatan Ibrahimovic","LAG",2019,1740,"F",83,33,17.2955140385501,0.228915662650602,16,14.006,0.574928938228641,1.99354088431962,19,15.4605891457863,3,3.25072023030316,-0.250720230303155,17.2571793459835,10.7608966553269,9.81089438159881,0.168752519466029,0.171090538437008,0.0240185648713207,-0.0131958015949029,7200,"LAG",1740,"F",4.57931034482759,1.82068965517241,0.882758620689655,0.772770158106504,0.0317202172815802,0.109988462583151,1.04827586206897,0.16551724137931,0.179350081671898,-0.0138328402925879,0.952120239778402,0.59370464305252,0.541290724502003,7200,510,509,"Ibrahimovic"
"Josef","Martinez","Josef Martinez","ATL",2019,1907,"F",77,30,15.6398007297356,0.194805194805195,17,13.809,0.70851488016176,3.19128431565509,24,21.5837764974875,2,2.48878882953849,-0.488788829538489,16.2975045138834,8.62920684417563,7.94668360896762,0.179333969926557,0.103699534564104,0.0414452508526635,-0.0203662012307704,3058,"ATL",1907,"F",3.87624541164132,1.51022548505506,0.855794441531201,0.695142478079241,0.035667240952034,0.16065196345196,1.20818038804405,0.100681699003671,0.125287743909646,-0.0246060449059753,0.820430221988887,0.434401603062853,0.400042803597741,3058,509,510,"Martinez"
"Wayne","Rooney","Wayne Rooney","DCU",2019,2051,"F",74,26,24.4244371818565,0.486486486486487,11,9.661,0.0722334440989307,1.33868852011499,59,16.5969768863943,6,5.19275006483192,0.807249935168075,14.8540615447169,7.2513506987915,6.56554456121509,0.130558263241689,0.088012712963253,0.0180903854069593,0.0136822022909843,3508,"DCU",2051,"F",3.46367625548513,1.21696733300829,0.514870794734276,0.452211556347616,0.00338099006996458,0.0626592383866598,2.76157971721112,0.280838615309605,0.243054122976043,0.0377844923335618,0.695265679323659,0.339409881562157,0.307309740554193,3508,506,507,"Rooney"
"Mauro","Manotas","Mauro Manotas","HOU",2019,1772,"F",65,20,17.755745959616,0.215384615384615,8,11.128,-4.16912301065746,-3.12825693644735,23,18.8350969054282,4,3.19926603293147,0.800733967068533,14.3275229693788,5.79341988048122,7.35034686687095,0.171203952868421,0.139098523170933,-0.0481270297914976,0.0348145203073275,1245,"HOU",1772,"F",3.52144469525959,1.08352144469526,0.433408577878104,0.602885251635974,-0.225866709380991,-0.16947667375787,1.24604966139955,0.216704288939052,0.173323667698319,0.0433806212407331,0.776208919334292,0.313864733931263,0.398212922810165,1245,508,496,"Manotas"
"Diego","Rossi","Diego Rossi","LAFC",2019,2015,"F",72,34,19.6486645803948,0.180555555555556,12,8.383,2.27364469664231,3.61676096888482,29,18.1369833404194,4,5.45505392196884,-1.45505392196884,13.838292953084,4.58472098781976,3.17530615552596,0.116433875432155,0.188105307654098,0.0502327912345113,-0.0501742731713394,1052,"LAFC",2015,"F",3.4302729528536,1.61985111662531,0.571712158808933,0.399399973690847,0.108322526490155,0.172312185118086,1.38163771712159,0.190570719602978,0.259893387845662,-0.0693226682426844,0.659293361536509,0.218428394456922,0.151280094754587,1052,500,508,"Rossi"
"Maximiliano","Moralez","Maximiliano Moralez","NYC",2019,1665,"F",34,20,18.4124972798857,0.235294117647059,6,7.266,0.548173962932284,-1.26610145835562,60,20.6178572998526,9,5.89301491360916,3.10698508639084,13.1591163719648,3.4516748698803,4.03588338437678,0.213708866422224,0.0982169152268193,-0.0372382781869299,0.0517830847731807,2000,"NYC",1665,"F",1.96036036036036,1.15315315315315,0.345945945945946,0.418946390391675,0.0316064266915912,-0.0730004444457293,3.45945945945946,0.518918918918919,0.339777436460348,0.179141482458571,0.758723826852023,0.199015487993098,0.232699582522625,2000,493,478,"Moralez"
"Darwin","Quintero","Darwin Quintero","MIN",2019,1608,"A",55,18,20.3640042838001,0.363636363636364,7,9.098,-1.86949804798108,-2.09839171411811,32,20.2272994944106,5,3.7398088425424,1.2601911574576,12.8382005566605,5.34342207234994,6.42708818372243,0.165425303893057,0.11686902632945,-0.0381525766203292,0.03938097367055,1750,"MIN",1608,"A",3.28358208955224,1.07462686567164,0.417910447761194,0.543187565021977,-0.111611823760064,-0.125277117260783,1.91044776119403,0.298507462686567,0.223272169704024,0.0752352929825432,0.766459734726001,0.319010272976116,0.38370675723716,1750,504,481,"Quintero"
"Diego","Valeri","Diego Valeri","POR",2019,1797,"A",53,22,22.9756855655549,0.358490566037736,6,6.497,0.39892608443509,-0.496663160773843,78,16.4828546417578,6,5.93516711275079,0.064832887249207,12.4318302735246,3.67587201458217,3.85920327693137,0.12257855020328,0.0760918860609076,-0.00937100303346873,0.000831190862169321,2420,"POR",1797,"A",2.8313856427379,1.17529215358932,0.320534223706177,0.347067147153194,0.0213115771317577,-0.0265329234470166,4.1669449081803,0.320534223706177,0.317070697175334,0.00346352653084245,0.664137844328528,0.196373797106226,0.206167787749255,2420,488,477,"Valeri"
"Carles","Gil","Carles Gil","NER",2019,2205,"A",47,17,21.2089787201717,0.297872340425532,8,5.808,2.48008756538067,2.19188169459522,65,17.4290699857623,8,6.52297265921992,1.47702734078009,12.3310909646247,3.61619748518282,2.89375096023422,0.123576985221378,0.10035342552646,0.0466357807360685,0.0227234975504628,2338,"NER",2205,"A",2.04625850340136,0.740136054421769,0.348299319727891,0.25287045683395,0.107976601485961,0.0954288628939415,2.82993197278912,0.348299319727891,0.283993367476241,0.06430595225165,0.536863824310191,0.157439890511361,0.125986436363939,2338,482,498,"Gil"
